dbn,school_name,building_ids
10X225,Theatre Arts Production Company School,X137
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",X143
10X243,West Bronx Academy for the Future,X435
10X244,The New School for Leadership and Journalism,X143
10X264,Bronx Academy for Software Engineering (BASE),X660
10X268,Kingsbridge International High School,X430
10X280,P.S./M.S. 280 Mosholu Parkway,X080
10X284,Bronx School of Law and Finance,X475
10X291,P.S. 291,X015
10X306,P.S. 306,X306
10X331,The Bronx School of Young Leaders,X306
10X342,International School for Liberal Arts,X430
10X344,Ampark Neighborhood,X095
10X351,Bronx Collaborative High School,X440
10X353,World View High School,X440
10X368,In-Tech Academy (M.S. / High School 368),X368
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),X435
10X382,"Elementary School for Math, Science, and Technology",X079
10X386,School for Environmental Citizenship,X079
10X390,M.S. 390,X026
10X391,The Angelo Patri Middle School,X137
10X396,P.S. 396,X026
10X397,English Language Learners and International Support Preparatory Academy (ELLIS),X475
10X433,High School for Teaching and the Professions,X430
10X434,Belmont Preparatory High School,X435
10X437,Fordham High School for the Arts,X435
10X438,Fordham Leadership Academy,X435
10X439,Bronx High School for Law and Community Service,X435
10X440,DeWitt Clinton High School,X440
10X442,"Celia Cruz Bronx High School of Music, The",X430
10X447,Creston Academy,X079
10X477,Marble Hill High School for International Studies,X475
10X524,Crotona International High School,X660
10X546,Bronx Theatre High School,X475
10X549,Discovery High School,X430
10X565,High School for Energy and Technology,X660
11X111,P.S. 111 Seton Falls,X111
11X127,J.H.S. 127 The Castle Hill,X127
11X144,J.H.S. 144 Michelangelo,X144
11X153,P.S. 153 Helen Keller,X153
11X160,P.S. 160 Walt Disney,X160
11X178,P.S. 178 - Dr. Selman Waksman,X178
11X181,I.S. 181 Pablo Casals,X181
11X189,Cornerstone Academy for Social Action,X189
11X194,P.S./M.S. 194,X194
11X249,Bronx Health Sciences High School,X455
11X253,Bronx High School for Writing and Communication Arts,X425
11X265,Bronx Lab School,X425
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,X362
11X275,High School of Computers and Technology,X425
11X287,North Bronx School of Empowerment,X113
11X288,Collegiate Institute for Math and Science,X415
11X290,Bronx Academy of Health Careers,X425
11X299,Astor Collegiate Academy,X415
11X326,Bronx Green Middle School,X135
11X355,Bronx Alliance Middle School,X142
11X370,Leaders of Tomorrow,X113
11X418,Bronx High School for the Visual Arts,X839
11X455,Harry S Truman High School,X455
11X462,Cornerstone Academy for Social Action Middle School (CASA),X189
11X468,Pelham Academy of Academics and Community Engagement,X135
11X498,P.S./M.S. 11X498 - Van Nest Academy,X498
11X508,Bronxdale High School,X415
11X509,High School of Language and Innovation,X415
11X513,New World High School,X362
11X514,The Bronxwood Preparatory Academy,X362
11X529,One World Middle School at Edenwald,X142
11X532,Baychester Middle School,X142
11X542,Pelham Preparatory Academy,X415
11X544,High School for Contemporary Arts,X425
11X545,Bronx Aerospace High School,X425
11X556,Bronx Park Middle School,X135
11X566,Pelham Gardens Middle School,X144
11X567,Linden Tree Elementary School,X127
12X006,P.S. 006 West Farms,X006
12X044,P.S. 044 David C. Farragut,X044
12X057,P.S. 057 Crescent,X057
12X061,P.S. 061 Francisco Oller,X061
12X066,P.S. 066 School of Higher Expectations,X066
12X098,J.H.S. 098 Herman Ridder,X098
12X129,M.S. 129 Academy for Independent Learning and Leadership,X129
12X190,E.S.M.T- I.S. 190,X061
12X195,P.S. 195,X077
12X196,P.S. 196,X077
12X211,P.S. 211,X193
12X214,P.S. 214,X167
12X217,School of Performing Arts,X116
12X242,Mott Hall V,X423
12X251,Explorations Academy H.S.,X098
12X267,Bronx Latin,X158
12X273,Frederick Douglass Academy V. Middle School,X057
12X286,Fannie Lou Hamer Middle School,X066
12X300,The School of Science and Applied Learning,X129
12X314,Fairmont Neighborhood School,X050
12X316,Kappa III,X129
12X318,"I.S. X318 Math, Science & Technology Through Arts",X193
12X341,Accion Academy,X116
12X383,Emolior Academy,X167
12X388,Pan American International High School at Monroe,X420
12X446,Arturo A. Schomburg Satellite Academy Bronx,X401
12X458,Samara Community School,X050
12X463,Urban Scholars Community School,X198
12X478,The Cinema School,X423
12X479,Bronx Career and College Preparatory High School,X158
12X480,Bronx Regional High School,X401
12X511,Bronx Envision Academy,X098
12X521,The Metropolitan Soundview High School,X420
12X531,Archer Elementary School,X102
12X536,P.S. 536,X102
12X550,High School of World Cultures,X420
12X595,P.S. 595,X092
12X691,Bronx Little School,X102
13K044,P.S. 044 Marcus Garvey,K044
13K046,P.S. 046 Edward C. Blum,K046
13K054,P.S. 054 Samuel C. Barnes,K054
13K056,P.S. 056 Lewis H. Latimer,K056
13K067,P.S. 067 Charles A. Dorsey,K067
13K093,P.S. 093 William H. Prescott,K093
13K113,M.S. 113 Ronald Edmonds Learning Center,K113
13K133,P.S. 133 William A. Butler,K317
13K256,P.S. 256 Benjamin Banneker,K256
13K265,Dr. Susan S. McKinney Secondary School of the Arts,K265
13K266,M.S. K266 - Park Place Community Middle School,K902
13K270,P.S. 270 Johann DeKalb,K270
13K287,P.S. 287 Bailey K. Ashford,K287
13K301,Satellite East Middle School,K093
13K313,Dock Street School for STEAM Studies,K611
13K350,Urban Assembly School of Music and Art,K805
13K351,The Urban Assembly Unison School,K056
13K412,Brooklyn Community Arts & Media High School (BCAM),K117
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",K805
13K439,Brooklyn International High School,K805
13K483,The Urban Assembly School for Law and Justice,K313
13K527,Urban Assembly Institute of Math and Science for Young Women,K313
13K553,Brooklyn Academy High School,K458
13K594,Gotham Professional Arts Academy,K909
13K605,George Westinghouse Career and Technical Education High School,K580
13K616,Brooklyn High School for Leadership and Community Service,K117
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",K580
13K691,Fort Greene Preparatory Academy,K046
13K869,District 13 PRE-K Center,K611
13K915,I.S. 915,K580
